SPFF-0525,20231215,sp5du/p,209
SPFF-0525,20230804,sq5am,17
SPFF-0525,20220923,sp5du/p,115
SPFF-0525,20211117,sp5uud/p,55
SPFF-0525,20211117,sp5zim/p,50
SPFF-0525,20210605,so5cal/p,97
SPFF-0525,20210320,sp5xty/p,149
SPFF-0525,20210109,sq8jcb/p,116
SPFF-0525,20201114,sp5du/p,150
SPFF-0525,20201114,sp5ejg/p,113
SPFF-0525,20191122,sp2sv,112
SPFF-0525,20190302,sp5te/p,115
SPFF-0525,20180509,so5cal/p,72
SPFF-0525,20170613,so5cal/p,106
SPFF-0525,20170418,sn0wff,90
SPFF-0525,20161124,sp5kd/p,56
SPFF-0525,20161124,sp5zim/p,117
SPFF-0525,20161017,sp5qaz/p,79
SPFF-0525,20161005,sp5uud/p,104
SPFF-0525,20161005,sp5zim/p,110
SPFF-0525,20160305,sp5c/p,57
SPFF-0525,20150919,sn0wff,138
SPFF-0525,20150731,sp5kd/p,83
SPFF-0525,20150731,sp5zim/p,178
SPFF-0525,20130827,sp0cff,122
SPFF-0525,20130818,sp5es,9
SPFF-0525,20110830,sp5es,17
SPFF-0525,20110814,sp5es,225
