SPFF-1398,20230715,sp5du/p,111
SPFF-1398,20221013,sp5du/p,122
SPFF-1398,20220716,sq7m/p,115
SPFF-1398,20220623,sq7m/p,8
SPFF-1398,20220205,sq8jcb/p,104
SPFF-1398,20211107,sq8hnb/p,107
SPFF-1398,20210614,sp5uud/p,103
SPFF-1398,20200621,sq8jcb/p,104
SPFF-1398,20191123,sp5ejg/p,101
SPFF-1398,20191026,sp5ejg/p,59
SPFF-1398,20190720,sp5du/p,158
SPFF-1398,20190324,sp5kd/p,124
SPFF-1398,20190324,sp5zim/p,113
SPFF-1398,20171017,sp5uud/p,153
SPFF-1398,20170218,sq8jcb/p,151
SPFF-1398,20170106,sn0wff,200
