SPFF-1475,20240310,sp5xty/p,120
SPFF-1475,20231116,sq8jcb/p,148
SPFF-1475,20220118,sq8hnb/p,72
SPFF-1475,20220117,sq8hnb/p,107
SPFF-1475,20211023,sp8dy/p,103
SPFF-1475,20211017,sp8dy/p,102
SPFF-1475,20191222,sq8jcb/p,116
SPFF-1475,20191004,sp0pl,23
SPFF-1475,20190513,sq8hnb/p,38
SPFF-1475,20190508,sq8hnb/p,37
SPFF-1475,20190506,sq8hnb/p,56
SPFF-1475,20180617,sp0pl,1
SPFF-1475,20180616,sp0pl,42
SPFF-1475,20180207,sq8jcb/p,145
SPFF-1475,20171209,sp9yff/8,130
SPFF-1475,20171012,sp5uud/p,103
SPFF-1475,20171012,sp5zim/p,109
SPFF-1475,20170722,sq8jcb/p,86
