SPFF-0879,20230902,sp5xty/p,107
SPFF-0879,20230503,sp5uud/p,115
SPFF-0879,20230503,sp5zim/p,108
SPFF-0879,20210320,sp5uud/p,110
SPFF-0879,20210320,sp5zim/p,124
SPFF-0879,20180822,sp5z/p,53
SPFF-0879,20180428,sp5kd/p,50
SPFF-0879,20180428,sp5z/p,56
SPFF-0879,20180428,sp5zim/p,50
SPFF-0879,20160921,sp5uud/p,133
SPFF-0879,20160831,sp5kd/p,62
SPFF-0879,20160831,sp5zim/p,169
SPFF-0879,20160512,sp5uud/p,78
SPFF-0879,20160512,sp5zim/p,43
SPFF-0879,20150503,sp5zim/p,161
SPFF-0879,20140907,sn0wff,27
SPFF-0879,20140906,sn0wff,600
SPFF-0879,20140905,sn0wff,257
